Molecular Weight,Smiles,Ligand Efficiency BEI,Ligand Efficiency BEI/MW
394.43,COc1cc(-c2cccc(-c3ccnc(N4CCOCC4)n3)n2)cc(OC)c1O,15.87,0.040235276
422.49,OCc1ccc(-c2ccc(-c3cc(N4CCOCC4)nc(N4CCOCC4)n3)o2)cc1,12.45,0.029468153
469.5,COc1cc(-c2cn(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)cn2)cc(OC)c1O,16.35,0.034824281
470.54,CCn1ncc2c(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4cccnc4)cc3)nc21,21.25,0.045160879
568.69,CCn1ncc2c(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(N5CCN(C)CC5)nc4)cc3)nc21,16.1,0.028310679
411.39,Nc1ncc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1C(F)(F)F,14.06,0.034176815
395.47,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(ncn3C)n2)cc1,14.31,0.036184793
409.49,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3CC)c3c(cnn3C)n2)cc1,19.77,0.048279567
313.34,Nc1ncnc2c1c(-c1cc(O)cc(F)c1)nn2C1CCCC1,15.96,0.050935086
343.39,COc1ccc(-c2nn(C[C@H](C)CO)c3ncnc(N)c23)cc1OC,16.8,0.048923964
343.39,COc1ccc(-c2nn(C[C@@H](C)CO)c3ncnc(N)c23)cc1OC,17.24,0.050205306
339.4,COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,16.51,0.048644667
358.83,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCNCC1,15.39,0.042889391
293.33,CC(C)n1nc(-c2ccc3cn[nH]c3c2)c2c(N)ncnc21,20.18,0.068796236
318.38,Nc1ncnc2c1c(-c1ccc3cc[nH]c3c1)nn2C1CCCC1,19.81,0.062221245
292.35,CC(C)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21,17.43,0.059620318
319.37,Nc1ncnc2c1c(-c1ccc3occc3c1)nn2C1CCCC1,18.15,0.056830635
295.31,CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21,13.55,0.045883986
411.46,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)C(C)(C)OC3=O)cc1,18.95,0.04605551
469.59,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@@](C)(CC(C)(C)O)OC3)cc1,16.44,0.035009263
427.51,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CO)OC3)cc1,18.53,0.043344015
